ord_id,order_date,order_priority
Ord_2103,"2009-01-01 00:00:00","NOT SPECIFIED"
Ord_2898,"2009-01-01 00:00:00",HIGH
Ord_350,"2009-01-02 00:00:00",LOW
Ord_418,"2009-01-02 00:00:00",CRITICAL
Ord_3156,"2009-01-02 00:00:00",CRITICAL
Ord_384,"2009-01-03 00:00:00",CRITICAL
Ord_1343,"2009-01-03 00:00:00",HIGH
Ord_1702,"2009-01-03 00:00:00",LOW
Ord_3073,"2009-01-03 00:00:00",MEDIUM
Ord_3147,"2009-01-03 00:00:00",CRITICAL
Ord_1762,"2009-01-04 00:00:00","NOT SPECIFIED"
Ord_1812,"2009-01-04 00:00:00",MEDIUM
Ord_3046,"2009-01-04 00:00:00",HIGH
Ord_4022,"2009-01-04 00:00:00",CRITICAL
Ord_194,"2009-01-05 00:00:00","NOT SPECIFIED"
Ord_3551,"2009-01-05 00:00:00",CRITICAL
Ord_4028,"2009-01-05 00:00:00",CRITICAL
Ord_4419,"2009-01-05 00:00:00",LOW
Ord_5261,"2009-01-05 00:00:00",MEDIUM
Ord_928,"2009-01-06 00:00:00",HIGH
Ord_1015,"2009-01-06 00:00:00",CRITICAL
Ord_2759,"2009-01-06 00:00:00",HIGH
Ord_2983,"2009-01-06 00:00:00",MEDIUM
Ord_3395,"2009-01-06 00:00:00",CRITICAL
Ord_4116,"2009-01-06 00:00:00","NOT SPECIFIED"
Ord_5260,"2009-01-06 00:00:00","NOT SPECIFIED"
Ord_423,"2009-01-07 00:00:00",LOW
Ord_3184,"2009-01-07 00:00:00",HIGH
Ord_3604,"2009-01-07 00:00:00","NOT SPECIFIED"
Ord_3768,"2009-01-07 00:00:00",CRITICAL
Ord_5368,"2009-01-07 00:00:00",LOW
Ord_5485,"2009-01-07 00:00:00",LOW
Ord_746,"2009-01-08 00:00:00","NOT SPECIFIED"
Ord_4459,"2009-01-08 00:00:00",CRITICAL
Ord_5039,"2009-01-08 00:00:00",LOW
Ord_169,"2009-01-09 00:00:00",CRITICAL
Ord_2053,"2009-01-09 00:00:00",CRITICAL
Ord_2239,"2009-01-09 00:00:00","NOT SPECIFIED"
Ord_3135,"2009-01-09 00:00:00",HIGH
Ord_3496,"2009-01-09 00:00:00",HIGH
Ord_4204,"2009-01-09 00:00:00","NOT SPECIFIED"
Ord_307,"2009-01-10 00:00:00",CRITICAL
Ord_2222,"2009-01-10 00:00:00",LOW
Ord_2230,"2009-01-10 00:00:00",HIGH
Ord_3286,"2009-01-10 00:00:00","NOT SPECIFIED"
Ord_3777,"2009-01-10 00:00:00",MEDIUM
Ord_3416,"2009-01-11 00:00:00","NOT SPECIFIED"
Ord_1338,"2009-01-12 00:00:00",LOW
Ord_2921,"2009-01-12 00:00:00","NOT SPECIFIED"
Ord_3486,"2009-01-12 00:00:00","NOT SPECIFIED"
Ord_4652,"2009-01-12 00:00:00",MEDIUM
Ord_900,"2009-02-01 00:00:00",CRITICAL
Ord_4646,"2009-02-01 00:00:00",LOW
Ord_4701,"2009-02-01 00:00:00",CRITICAL
Ord_369,"2009-02-02 00:00:00","NOT SPECIFIED"
Ord_2649,"2009-02-02 00:00:00",CRITICAL
Ord_2739,"2009-02-02 00:00:00","NOT SPECIFIED"
Ord_3009,"2009-02-02 00:00:00",HIGH
Ord_4992,"2009-02-02 00:00:00",LOW
Ord_246,"2009-02-03 00:00:00",MEDIUM
Ord_2805,"2009-02-03 00:00:00","NOT SPECIFIED"
Ord_3446,"2009-02-03 00:00:00",HIGH
Ord_4155,"2009-02-03 00:00:00","NOT SPECIFIED"
