ship_id,ship_mode,ship_date
SHP_47,"REGULAR AIR","2009-01-02 00:00:00"
SHP_4209,"DELIVERY TRUCK","2009-01-02 00:00:00"
SHP_5785,"REGULAR AIR","2009-01-02 00:00:00"
SHP_5926,"REGULAR AIR","2009-01-02 00:00:00"
SHP_4869,"EXPRESS AIR","2009-01-03 00:00:00"
SHP_7363,"EXPRESS AIR","2009-01-03 00:00:00"
SHP_3398,"REGULAR AIR","2009-01-04 00:00:00"
SHP_5430,"EXPRESS AIR","2009-01-04 00:00:00"
SHP_6384,"REGULAR AIR","2009-01-04 00:00:00"
SHP_6812,"REGULAR AIR","2009-01-04 00:00:00"
SHP_262,"REGULAR AIR","2009-01-05 00:00:00"
SHP_4165,"DELIVERY TRUCK","2009-01-05 00:00:00"
SHP_4918,"REGULAR AIR","2009-01-05 00:00:00"
SHP_6577,"EXPRESS AIR","2009-01-05 00:00:00"
SHP_350,"REGULAR AIR","2009-01-06 00:00:00"
SHP_4708,"REGULAR AIR","2009-01-06 00:00:00"
SHP_1413,"REGULAR AIR","2009-01-07 00:00:00"
SHP_2835,"REGULAR AIR","2009-01-07 00:00:00"
SHP_3782,"EXPRESS AIR","2009-01-07 00:00:00"
SHP_4419,"REGULAR AIR","2009-01-07 00:00:00"
SHP_4421,"REGULAR AIR","2009-01-07 00:00:00"
SHP_6462,"REGULAR AIR","2009-01-07 00:00:00"
SHP_1017,"REGULAR AIR","2009-01-08 00:00:00"
SHP_1444,"REGULAR AIR","2009-01-08 00:00:00"
SHP_2037,"REGULAR AIR","2009-01-08 00:00:00"
SHP_2181,"DELIVERY TRUCK","2009-01-08 00:00:00"
SHP_2182,"REGULAR AIR","2009-01-08 00:00:00"
SHP_2782,"DELIVERY TRUCK","2009-01-08 00:00:00"
SHP_5115,"REGULAR AIR","2009-01-08 00:00:00"
SHP_4689,"REGULAR AIR","2009-01-09 00:00:00"
SHP_413,"DELIVERY TRUCK","2009-01-10 00:00:00"
SHP_2573,"REGULAR AIR","2009-01-10 00:00:00"
SHP_3021,"REGULAR AIR","2009-01-10 00:00:00"
SHP_3779,"DELIVERY TRUCK","2009-01-10 00:00:00"
